epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5983.41,0.67465,1.54234,1.14113,0.92179,0.90817,0.95398,0.91126,0.31413,0.70487,1.01974,0.000415344,0.000415344,0.000415344
2,10853.8,0.39831,0.79344,0.95893,0.89715,0.92175,0.98219,0.87958,0.52553,0.70896,1.25971,0.000815537,0.000815537,0.000815537
3,11868.9,0.35238,0.70333,0.94172,0.92954,0.95888,0.98115,0.91851,0.37216,0.618,1.05153,0.00119923,0.00119923,0.00119923
4,12887.2,0.32042,0.6101,0.93213,0.91734,0.94685,0.9872,0.96156,0.31344,0.51875,1.01735,0.00117575,0.00117575,0.00117575
5,13949.1,0.29417,0.58435,0.92445,0.96541,0.97014,0.99352,0.96911,0.33968,0.39911,1.05735,0.001151,0.001151,0.001151
6,14966.9,0.26343,0.52539,0.91286,0.99436,0.99301,0.99499,0.99262,0.24786,0.25018,0.97493,0.00112625,0.00112625,0.00112625
7,15942.5,0.24816,0.51121,0.91111,0.9886,0.99829,0.995,0.90007,0.45476,0.25122,1.14755,0.0011015,0.0011015,0.0011015
8,16911,0.23467,0.49186,0.90821,0.99527,0.99821,0.995,0.995,0.20294,0.2188,0.9536,0.00107675,0.00107675,0.00107675
9,17888.8,0.2222,0.45794,0.90456,0.9852,0.9818,0.995,0.99486,0.18177,0.27567,0.9473,0.001052,0.001052,0.001052
10,18860.9,0.20543,0.44849,0.90188,0.99528,0.99533,0.995,0.99497,0.17146,0.20321,0.94383,0.00102725,0.00102725,0.00102725
11,19834.1,0.20274,0.43198,0.90041,0.99221,0.99913,0.99471,0.99442,0.19003,0.18456,0.95393,0.0010025,0.0010025,0.0010025
12,20809.5,0.19805,0.43002,0.90055,0.99688,0.99821,0.995,0.995,0.22319,0.19374,0.95972,0.00097775,0.00097775,0.00097775
13,21788.8,0.18713,0.41723,0.89453,0.97201,0.98079,0.99453,0.99393,0.17879,0.2368,0.94747,0.000953,0.000953,0.000953
14,22772.8,0.18358,0.41176,0.89495,0.99539,1,0.995,0.99416,0.22236,0.25508,0.96704,0.00092825,0.00092825,0.00092825
15,23757.2,0.17511,0.39705,0.89235,0.99956,1,0.995,0.99498,0.16453,0.13364,0.9421,0.0009035,0.0009035,0.0009035
16,24743.6,0.17092,0.38242,0.89129,0.99929,1,0.995,0.995,0.1488,0.1581,0.93686,0.00087875,0.00087875,0.00087875
17,25750.5,0.16684,0.38964,0.89127,0.99871,0.99824,0.995,0.995,0.11925,0.12244,0.93463,0.000854,0.000854,0.000854
18,26739.2,0.15926,0.37111,0.88765,0.9987,1,0.995,0.995,0.22405,0.15597,0.95685,0.00082925,0.00082925,0.00082925
19,27731.4,0.15775,0.37036,0.88995,0.9994,0.9997,0.995,0.995,0.21197,0.19988,0.95582,0.0008045,0.0008045,0.0008045
20,28728.2,0.1512,0.35257,0.88537,0.99936,0.99965,0.995,0.995,0.13742,0.16428,0.94192,0.00077975,0.00077975,0.00077975
21,29725.6,0.14775,0.35781,0.88594,0.99859,0.99662,0.995,0.995,0.14953,0.13159,0.93686,0.000755,0.000755,0.000755
22,30728,0.14125,0.35242,0.88449,0.99969,1,0.995,0.995,0.18929,0.19369,0.9437,0.00073025,0.00073025,0.00073025
23,31742.5,0.14105,0.34736,0.88366,0.99877,0.99912,0.995,0.995,0.16587,0.19454,0.94055,0.0007055,0.0007055,0.0007055
24,32757.6,0.13652,0.33689,0.88358,0.9994,0.99957,0.995,0.995,0.14192,0.14544,0.93569,0.00068075,0.00068075,0.00068075
25,33776.5,0.13365,0.33009,0.88271,0.99939,1,0.995,0.995,0.14701,0.12596,0.9343,0.000656,0.000656,0.000656
26,34798.3,0.13288,0.32068,0.88058,0.99897,1,0.995,0.995,0.15629,0.13527,0.93774,0.00063125,0.00063125,0.00063125
27,35818.3,0.1257,0.31516,0.87825,0.99968,1,0.995,0.995,0.1218,0.1342,0.92837,0.0006065,0.0006065,0.0006065
28,36838.1,0.12258,0.3223,0.87933,0.99931,1,0.995,0.995,0.12603,0.15287,0.93308,0.00058175,0.00058175,0.00058175
29,37865.8,0.12115,0.31239,0.88101,0.99936,0.99918,0.995,0.995,0.12017,0.11473,0.93162,0.000557,0.000557,0.000557
30,38898.2,0.12023,0.30625,0.88026,0.99954,1,0.995,0.995,0.11161,0.0998,0.92795,0.00053225,0.00053225,0.00053225
31,39956,0.12251,0.29595,0.88149,0.99928,1,0.995,0.995,0.12033,0.12639,0.92947,0.0005075,0.0005075,0.0005075
32,41006.7,0.11322,0.29596,0.87754,0.99885,0.99847,0.995,0.995,0.11242,0.13736,0.92941,0.00048275,0.00048275,0.00048275
33,42041.2,0.11113,0.29261,0.87855,0.9996,1,0.995,0.995,0.10713,0.11615,0.92649,0.000458,0.000458,0.000458
34,43077.4,0.11106,0.28735,0.87975,0.99955,0.99995,0.995,0.995,0.09868,0.11372,0.92566,0.00043325,0.00043325,0.00043325
35,44113.2,0.10361,0.28022,0.88111,0.99946,0.99999,0.995,0.995,0.10631,0.11531,0.92804,0.0004085,0.0004085,0.0004085
36,45154,0.1039,0.28964,0.87605,0.99957,1,0.995,0.995,0.09502,0.12581,0.92564,0.00038375,0.00038375,0.00038375
37,46196.3,0.09924,0.26677,0.87718,0.99962,1,0.995,0.995,0.10487,0.11949,0.92748,0.000359,0.000359,0.000359
38,47230,0.09905,0.27293,0.87727,0.99968,1,0.995,0.995,0.10199,0.1087,0.9262,0.00033425,0.00033425,0.00033425
39,48294.9,0.09573,0.27369,0.87568,0.99947,0.99993,0.995,0.995,0.10075,0.13675,0.92572,0.0003095,0.0003095,0.0003095
40,49270.2,0.09017,0.25911,0.87763,0.99962,1,0.995,0.995,0.10702,0.10452,0.92781,0.00028475,0.00028475,0.00028475
41,50214.2,0.16025,0.14631,0.88539,0.99965,1,0.995,0.995,0.1063,0.11192,0.92757,0.00026,0.00026,0.00026
42,51165.6,0.1351,0.11576,0.87214,0.99963,1,0.995,0.995,0.07769,0.09037,0.92291,0.00023525,0.00023525,0.00023525
